Chapters,Jan 27 Shift 1,Jan 27 Shift 2,Jan 29 Shift 1,Jan 29 Shift 2,Jan 30 Shift 1,Jan 30 Shift 2,Jan 31 Shift 1,Jan 31 Shift 2,Feb 1 Shift 1,Feb 1 Shift 2,Total Ques (2024),Total Ques (Jan 2023),Total Ques (April 2023,Total Ques (2023),Total Ques (June 2022),Total Ques (July 2022),Total Ques (2022)
General Organic Chemistry,6,6,4,4,5,4,4,2,4,5,44,21,22,43,22,20,42
d and f Block Elements,2,2,2,2,2,3,2,3,0,3,21,16,9,25,15,16,31
Hydrocarbons,2,1,4,1,2,1,2,3,3,2,21,13,9,22,11,11,22
Chemical Bonding and Molecular Structure,2,1,2,3,2,1,2,2,3,2,20,10,22,32,14,15,29
Coordination Compounds,1,3,1,1,2,3,1,2,2,2,18,20,30,50,17,13,30
Classification of Elements and Periodicity,1,0,2,3,2,2,1,1,2,2,16,0,0,0,8,8,16
Biomolecules,1,1,3,1,1,1,1,2,1,1,13,12,8,20,13,10,23
Electrochemistry,1,2,1,1,0,1,3,1,1,2,13,13,11,24,15,8,23
Haloalkanes and Haloarenes,1,2,1,1,1,2,1,1,2,1,13,6,8,14,10,2,12
Structure of Atom,4,1,1,1,1,1,1,1,1,1,13,14,15,29,14,10,24
Solutions,1,1,2,1,2,2,1,0,1,1,12,15,12,27,12,10,22
Chemical Kinetics,1,1,1,1,1,1,1,1,1,1,10,15,12,27,12,10,22
Redox Reactions,0,1,2,1,1,1,0,1,3,0,10,9,11,20,7,10,17
Some Basic Concepts of Chemistry,1,3,0,0,1,0,1,2,1,1,10,14,13,27,13,13,26
Thermodynamics (C),1,1,1,1,1,1,1,1,1,1,10,9,19,28,14,10,24
Alcohols Phenols and Ethers,1,3,0,1,0,1,2,0,0,1,9,7,14,21,14,12,26
Practical Chemistry,0,0,0,3,2,1,2,0,1,0,9,4,2,6,4,0,4
Aldehydes and Ketones,0,0,1,1,2,1,1,1,1,0,8,12,8,20,9,9,18
Amines,0,0,0,2,1,1,0,1,0,1,6,11,13,24,13,12,25
Ionic Equilibrium,2,0,0,0,1,1,0,0,1,1,6,11,7,18,6,7,13
p Block Elements (Group 13 & 14),1,0,1,0,0,0,1,1,0,2,6,7,5,12,6,8,14
"p Block Elements (Group 15, 16, 17 & 18)",1,1,0,0,0,1,1,1,1,0,6,15,13,28,21,14,35
Chemical Equilibrium,0,0,1,1,0,0,1,1,0,0,4,9,5,14,6,3,9
Carboxylic Acid Derivatives,0,0,0,0,0,0,2,0,0,0,2,5,3,8,4,3,7