Chapters,Jan 24 Shift 2,Jan 27 Shift 1,Jan 27 Shift 2,Jan 29 Shift 1,Jan 29 Shift 2,Jan 30 Shift 1,Jan 30 Shift 2,Jan 31 Shift 1,Jan 31 Shift 2,Feb 1 Shift 1,Feb 1 Shift 2,Total Ques (2024),Total Ques (Jan 2023),Total Ques (April 2023),Total Ques (2023),Total Ques (June 2022),Total Ques (July 2022),Total Ques (2022)
Three Dimensional Geometry,0,2,4,3,2,2,2,3,2,2,2,24,35,37,59,25,20,45
Definite Integration,0,2,2,1,1,2,2,3,2,2,3,20,24,13,44,20,20,40
Differential Equations,0,2,2,2,1,2,0,2,2,2,2,17,11,13,28,19,17,36
Sequences and Series,0,2,1,2,2,2,2,1,1,2,2,17,22,24,39,17,19,36
Vector Algebra,0,2,0,1,2,2,2,1,1,1,2,15,23,20,38,16,14,30
Complex Number,0,2,1,2,2,1,1,1,2,2,1,14,11,13,25,13,13,26
Straight Lines,0,1,3,2,2,1,1,1,2,0,1,14,10,11,24,9,10,19
Binomial Theorem,0,2,1,1,1,1,2,1,2,1,1,13,23,27,36,15,11,26
Functions,0,1,1,3,0,2,2,1,1,1,1,13,20,13,33,14,11,25
Area Under Curves,0,1,1,1,1,1,2,1,1,1,2,12,14,12,26,11,8,19
Determinants,0,1,1,0,1,2,1,2,1,1,1,11,8,12,19,10,5,15
Limits,0,1,1,1,1,1,0,2,2,1,1,11,5,5,16,13,7,20
Probability,0,1,1,1,1,1,1,2,1,1,1,11,14,13,25,13,13,26
Circle,0,1,1,1,0,1,1,1,1,2,1,10,9,9,19,12,9,21
Continuity and Differentiability,0,1,1,0,1,1,2,1,1,1,1,10,2,6,12,8,7,15
Quadratic Equation,0,0,1,0,1,1,1,2,2,1,1,10,10,8,20,10,11,21
Sets and Relations,0,1,0,1,1,1,1,1,2,1,1,10,8,14,18,6,5,11
Matrices,0,1,1,2,1,0,1,0,1,1,1,9,15,13,24,17,16,33
Statistics,0,1,1,1,1,1,1,0,1,1,1,9,10,12,19,7,4,11
Permutation Combination,0,0,1,1,1,0,1,1,1,1,1,8,20,20,28,13,8,21
Hyperbola,0,0,1,0,0,1,1,2,0,2,0,7,5,4,12,8,9,17
Application of Derivatives,0,0,1,0,2,1,1,0,0,1,0,6,13,12,19,25,16,41
Ellipse,0,1,0,1,0,1,1,0,1,0,1,6,5,6,11,7,5,12
Trigonometric Equations,0,1,1,1,1,1,0,0,0,0,1,6,2,1,8,5,4,9
Differentiation,0,2,0,1,1,0,0,0,0,0,1,5,6,3,11,6,3,9
Inverse Trigonometric Functions,0,0,1,0,1,0,0,1,1,0,0,4,8,2,12,7,5,12
Indefinite Integration,0,0,1,1,1,0,0,0,0,0,0,3,2,8,5,2,2,4
Parabola,0,1,0,0,1,1,0,0,0,0,0,3,7,4,10,12,9,21
Trigonometric Ratios & Identities,0,0,0,0,0,0,1,0,0,1,0,2,4,3,6,7,3,10