Chapter,Jan 27 Shift 1,Jan 27 Shift 2,Jan 29 Shift 1,Jan 29 Shift 2,Jan 30 Shift 1,Jan 30 Shift 2,Jan 31 Shift 1,Jan 31 Shift 2,Feb 1 Shift 1,Feb 1 Shift 2,Total Ques (2024),Total Ques (Jan 2023),Total Ques (April 2023),Total Ques (2023),Total Ques (June 2022),Total Ques (July 2022),Total Ques (2022)
Current Electricity,2,3,3,2,3,2,1,3,3,3,25,23,25,48,26,23,49
Electrostatics,2,3,3,1,1,2,1,2,1,2,18,21,16,37,14,9,23
Laws of Motion,2,2,0,1,1,3,2,1,2,2,16,15,7,22,17,14,31
Magnetic Effects of Current,3,1,1,2,0,1,3,2,1,1,15,23,12,35,17,10,27
Alternating Current,0,2,0,2,2,2,0,1,2,1,12,16,8,24,14,13,27
Kinetic Theory of Gases,1,1,1,2,2,1,1,1,1,1,12,6,11,17,10,11,21
Motion In One Dimension,1,2,1,2,1,0,2,0,1,2,12,11,13,24,12,9,21
Wave Optics,0,2,1,2,1,1,1,1,1,2,12,12,6,18,10,5,15
Atomic Physics,1,1,1,2,2,1,1,0,1,1,11,12,11,23,7,10,17
Ray Optics,3,0,2,1,1,1,1,1,1,0,11,14,19,33,13,15,28
Gravitation,1,1,1,1,1,1,1,1,1,1,10,18,21,39,14,10,24
Rotational Motion,1,1,1,1,1,1,0,2,1,1,10,15,10,25,11,6,17
Semiconductors,1,1,1,1,1,1,1,1,1,1,10,12,13,25,18,10,28
Dual Nature of Matter,0,1,0,1,1,1,2,1,1,1,9,13,11,24,12,9,21
Electromagnetic Induction,2,0,1,1,1,0,1,1,1,1,9,6,16,22,8,6,14
Mechanical Properties of Fluids,1,1,2,1,0,1,0,1,1,1,9,9,14,23,12,9,21
Mechanical Properties of Solids,1,1,0,2,1,0,1,1,1,1,9,10,9,19,2,11,13
Work Power Energy,1,0,3,2,1,0,1,1,0,0,9,9,16,25,15,11,26
Capacitance,1,0,2,0,2,0,0,1,2,1,8,7,12,19,14,11,25
Electromagnetic Waves,1,1,0,1,1,1,1,0,1,1,8,8,9,17,9,5,14
Nuclear Physics,1,1,1,0,0,1,0,2,1,1,8,9,10,19,9,8,17
Oscillations,1,1,1,1,0,1,1,0,1,1,8,12,11,23,7,12,19
Mathematics in Physics,0,0,1,1,0,1,1,1,1,1,7,4,8,12,7,5,12
Thermodynamics,1,1,1,0,0,1,1,0,1,1,7,21,9,30,14,7,21
Units and Dimensions,1,1,0,0,1,1,1,1,1,0,7,12,7,19,7,7,14
Center of Mass Momentum and Collision,0,0,0,0,1,1,1,0,2,1,6,9,5,14,6,8,14
Experimental Physics,1,1,0,0,1,1,0,1,1,0,6,4,1,5,4,6,10
Motion In Two Dimensions,0,0,2,0,1,1,1,0,1,0,6,8,11,19,9,9,18
Waves and Sound,0,1,1,1,1,1,0,0,1,0,6,8,12,20,12,8,20
Magnetic Properties of Matter,0,0,0,0,2,0,0,0,0,0,2,0,9,9,6,7,13
Thermal Properties of Matter,0,0,0,0,0,1,1,0,0,0,2,3,6,9,12,7,19